                                     | Core 0     | Core 1    
  Instructions                       |    9434440 |    7839164
  Cycles                             |    6989506 |    6989506
  IPC                                |       1.35 |       1.12
  Time (ns)                          |    2627634 |    2627634
  Idle time (ns)                     |      98277 |     338718
  Idle time (%)                      |       3.7% |      12.9%
Branch predictor stats               |            |           
  num correct                        |    1719006 |    1399943
  num incorrect                      |        287 |        293
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.03 |       0.04
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3444574 |    2806461
    num cache misses                 |         14 |         17
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    5782890 |    4825719
    num cache misses                 |       3525 |       3649
    miss rate                        |      0.06% |      0.08%
    mpki                             |       0.37 |       0.47
  Cache L2                           |            |           
    num cache accesses               |       3666 |       3669
    num cache misses                 |         22 |          9
    miss rate                        |      0.60% |      0.25%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         24 |         12
    num cache misses                 |         22 |          9
    miss rate                        |     91.67% |     75.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     118.14 |        inf
  average dram queueing delay        |      64.72 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
