                                     | Core 0     | Core 1    
  Instructions                       |     338306 |     419994
  Cycles                             |     622680 |     622680
  IPC                                |       0.54 |       0.67
  Time (ns)                          |     234090 |     234090
  Idle time (ns)                     |     112842 |     100647
  Idle time (%)                      |      48.2% |      43.0%
Branch predictor stats               |            |           
  num correct                        |      43732 |      60074
  num incorrect                      |        335 |        334
  misprediction rate                 |      0.76% |      0.55%
  mpki                               |       0.99 |       0.80
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      94124 |     126809
    num cache misses                 |         16 |         16
    miss rate                        |      0.02% |      0.01%
    mpki                             |       0.05 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     217211 |     266238
    num cache misses                 |       2734 |       2594
    miss rate                        |      1.26% |      0.97%
    mpki                             |       8.08 |       6.18
  Cache L2                           |            |           
    num cache accesses               |       2968 |       2968
    num cache misses                 |         24 |          8
    miss rate                        |      0.81% |      0.27%
    mpki                             |       0.07 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         26 |         11
    num cache misses                 |         24 |          8
    miss rate                        |     92.31% |     72.73%
    mpki                             |       0.07 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     100.42 |        inf
  average dram queueing delay        |      46.99 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
